Date,CashIn,CashOut
1/7/2019,52850,59560
1/8/2019,72720,31620
1/9/2019,49140,41930
1/10/2019,69900,20560
1/11/2019,29430,29350
1/12/2019,22140,42490
1/13/2019,20340,24360
1/14/2019,57200,33380
1/15/2019,68110,58340
1/16/2019,41900,45980
1/17/2019,79110,37490
1/18/2019,44890,57100
1/19/2019,17530,42240
1/20/2019,18100,12300
1/21/2019,68570,38080
1/22/2019,52660,35140
1/23/2019,48610,17510
1/24/2019,41410,27740
1/25/2019,43330,52060
1/26/2019,54440,32710
1/27/2019,19010,15920
1/28/2019,65310,32600
1/29/2019,47400,18750
1/30/2019,39520,24550
1/31/2019,34060,10170
2/1/2019,,
2/2/2019,,
2/3/2019,,
2/4/2019,,
2/5/2019,,
2/6/2019,,
2/7/2019,,
2/8/2019,17750,9880
2/9/2019,27680,28200
2/10/2019,7500,5740
2/11/2019,4900,34040
2/12/2019,14310,16750
2/13/2019,18650,29800
2/14/2019,16900,34070
2/15/2019,52340,85230
2/16/2019,35480,53420
2/17/2019,14680,18460
2/18/2019,72050,53600
2/19/2019,53190,42080
2/20/2019,23170,53370
2/21/2019,22370,18830
2/22/2019,61150,40540
2/23/2019,49970,32990
2/24/2019,17460,18630
2/25/2019,65810,46220
2/26/2019,54260,37760
2/27/2019,33690,24090
2/28/2019,36360,59480
3/1/2019,51750,66320
3/2/2019,6920,23900
3/3/2019,3590,11660
3/4/2019,14750,45580
3/5/2019,31940,53580
3/6/2019,49350,62430
3/7/2019,52800,54680
3/8/2019,73210,60720
3/9/2019,,
3/10/2019,38760,16300
3/11/2019,,
3/12/2019,44700,23240
3/13/2019,93110,25440
3/14/2019,30330,41310
3/15/2019,60850,66820
3/16/2019,64280,45020
3/17/2019,27970,34090
3/18/2019,85270,46860
3/19/2019,34430,33440
3/20/2019,20820,19390
3/21/2019,40820,33000
3/22/2019,49730,43760
3/23/2019,40500,34230
3/24/2019,18150,18440
3/25/2019,59880,25500
3/26/2019,49270,17860
3/27/2019,45160,48600
3/28/2019,39480,22840
3/29/2019,70260,25950
3/30/2019,19250,24350
3/31/2019,46870,14400
